Time (sec),Force X (N),Force Y (N),Force Z (N),Torque X (Nm),Torque Y (Nm),Torque Z (Nm),Forktip Pose X (m),Forktip Pose Y (m),Forktip Pose Z (m),Forktip Pose Roll (rad),Forktip Pose Pitch (rad),Forktip Pose Yaw (rad)
1637705116.911206,-2.2651516988547025,-2.9889239764093976,-29.49037429478456,0.0092837073691523896,0.0018676122145258383,-0.0013123092977796909,,,,,,
1637705116.91404,,,,,,,-0.38492062902780133,-0.016498185102346796,0.0643389673840693,1.556897565562387,0.43999404965202554,-0.03372656153423851
1637705116.9141107,,,,,,,-0.3848335189787281,-0.016334808208529533,0.06448395325500511,1.5528970342148603,0.43841435011592855,-0.04208218914815117
1637705116.9212222,-2.047091960242672,-2.2347111259139014,-22.104057636444402,0.0080482386884707848,0.0018061103837544033,-0.0011534526319122024,,,,,,
1637705116.9239626,,,,,,,-0.3858502791790738,-0.01802969778418037,0.05134563044723439,1.5988657625541896,0.43968872499016115,-0.03685508410099184
1637705116.9312634,-1.4515321712460447,-1.5805973163105653,-14.46519763782891,0.0064268670994695794,0.0015891266431363603,-0.00106893998179209,,,,,,
1637705116.933953,,,,,,,-0.3845934680607095,-0.015716225286973695,0.0660229574794956,1.5326905286913535,0.43586647441624193,-0.07125597991838732
1637705116.9412575,-0.37746111416487788,-1.0395615628573249,-7.998911127311507,0.0041944158036176047,0.0015653262019642521,-0.0008619517798936285,,,,,,
1637705116.9439893,,,,,,,-0.3840149457020018,-0.01499262009141511,0.07044661139002462,1.5095197645972982,0.4305392107483999,-0.09148362913083526
1637705116.9512777,0.35722232849590185,-1.0491937756665801,-2.6719431992681653,0.0028015411229257003,0.00081111720417462369,-0.000660386849660629,,,,,,
1637705116.9539628,,,,,,,-0.38398743424658216,-0.014463585305269755,0.06975179851374202,1.5040229603120938,0.42498223875757885,-0.10727595040521887
1637705116.9611459,1.0233631999070223,-0.51027510720081404,0.9610084488396851,0.001212759946456999,0.0010488285676804382,-0.00031736491682016546,,,,,,
1637705116.9639244,,,,,,,-0.38368841654402996,-0.013602174174548481,0.07038936185727951,1.4911139378267946,0.4225989289964112,-0.12900255586732565
1637705116.9639819,,,,,,,-0.38347190466519665,-0.012894738519712318,0.0709823299920026,1.4803321529112066,0.41809873738612696,-0.14673242989322005
1637705116.9711723,1.8422661756475764,-0.61403811517643681,3.21994443976309,0.00081017834457145052,0.0011990478270852119,-0.0002752215765864721,,,,,,
1637705116.973977,,,,,,,-0.38346704366982387,-0.011997696005350611,0.07071789908904491,1.4713106831059222,0.40857871905724663,-0.16703721984596062
1637705116.9811983,2.0978758254399219,-0.54484786639975791,3.6002095704587944,0.00071982325868148647,0.0016409470979638109,-0.00033284383803200424,,,,,,
1637705116.9839733,,,,,,,-0.3834167207238795,-0.010820109290384738,0.07156562050189352,1.4574610265097006,0.39547377003513795,-0.1897749230144898
1637705116.9912035,2.510168885073226,-0.60734928908556718,3.214579884361461,0.0008094887873835179,0.0017064141972792071,-0.0002745436676282881,,,,,,
